Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age,Price_Per_Year
Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,First,20.46,1461.0,83.8,5.0,5.5,True,False,False,False,True,13,0.42
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,First,12.99,2494.0,100.6,8.0,9.35,True,False,False,False,True,13,0.72
Honda City 1.5 S MT,Delhi,2009,231673,First,17.0,1497.0,118.0,5.0,2.6,False,False,True,False,True,17,0.15
Maruti Alto K10 VXI,Hyderabad,2016,10000,First,24.07,998.0,67.1,5.0,3.5,False,False,True,False,True,10,0.35
Nissan Micra Active XL Petrol,Kochi,2016,49389,First,19.49,1198.0,67.04,5.0,4.26,False,False,True,False,True,10,0.43
Maruti Celerio VXI AT,Chennai,2016,12000,Second,23.1,998.0,67.04,5.0,4.25,False,False,True,True,False,10,0.42
Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Second,11.7,1796.0,178.0,5.0,11.75,False,False,True,False,True,16,0.73
Ford Fiesta Diesel Style,Chennai,2013,177000,First,23.5,1498.0,88.7,5.0,3.5,True,False,False,False,True,13,0.27
Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,First,17.01,1591.0,121.3,5.0,7.5,False,False,True,False,True,11,0.68
Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Third,15.0,1396.0,100.0,5.0,3.25,False,False,True,True,False,17,0.19
Maruti Swift Dzire VXi,Chennai,2012,49000,First,17.5,1298.0,85.8,5.0,4.9,False,False,True,False,True,14,0.35
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,First,14.84,2143.0,170.0,5.0,27.0,True,False,False,True,False,12,2.25
Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,First,18.6,1197.0,81.86,5.0,8.91,False,False,True,False,True,9,0.99
Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,First,17.01,1591.0,121.4,5.0,6.69,False,False,True,True,False,12,0.56
Chevrolet Cruze LTZ,Kochi,2014,52895,First,17.3,1998.0,163.7,5.0,6.02,True,False,False,False,True,12,0.5
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,14.28,1798.0,138.03,5.0,4.5,False,False,True,False,True,16,0.28
Maruti A-Star Vxi,Pune,2011,70000,First,19.0,998.0,66.1,5.0,2.0,False,False,True,False,True,15,0.13
Nissan Micra Diesel XV Premium,Kolkata,2012,32048,First,23.08,1461.0,63.1,5.0,2.4,True,False,False,False,True,14,0.17
Tata Nano LX,Pune,2013,4700,First,25.4,624.0,37.48,4.0,1.2,False,False,True,False,True,13,0.09
Maruti Swift Dzire Tour LDI,Delhi,2014,71800,First,23.4,1248.0,74.0,5.0,2.9,True,False,False,False,True,12,0.24
Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,First,0.0,1497.0,98.6,5.0,40.88,False,False,True,False,True,18,2.27
Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,First,17.32,1968.0,184.0,5.0,27.0,True,False,False,True,False,10,2.7
Honda Amaze VX i-DTEC,Chennai,2016,15388,First,25.8,1498.0,98.6,5.0,7.5,True,False,False,False,True,10,0.75
Chevrolet Optra 1.6 LS,Mumbai,2004,98798,First,14.7,1599.0,104.0,5.0,1.5,False,False,True,False,True,22,0.07
Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,First,14.16,1968.0,174.3,5.0,39.5,True,False,False,True,False,10,3.95
Maruti Ritz VDi,Hyderabad,2012,85112,First,23.2,1248.0,73.94,5.0,3.39,True,False,False,False,True,14,0.24
Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,First,15.4,2179.0,120.0,7.0,12.4,True,False,False,False,True,8,1.55
Maruti Ciaz ZDi SHVS,Chennai,2014,45000,First,28.09,1248.0,88.5,5.0,6.85,True,False,False,False,True,12,0.57
Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Second,21.43,1364.0,138.0,5.0,5.75,True,False,False,False,True,15,0.38
Tata Indica V2 eLS,Chennai,2015,100073,Second,25.0,1396.0,69.0,5.0,2.0,True,False,False,False,True,11,0.18
Maruti 800 Std BSIII,Jaipur,2006,165000,First,16.1,796.0,37.0,4.0,0.9,False,False,True,False,True,20,0.04
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,First,16.47,1198.0,74.0,5.0,3.8,False,False,True,False,True,11,0.35
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999.0,149.92,5.0,16.35,False,False,True,True,False,9,1.82
Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,First,11.5,2982.0,169.0,7.0,16.5,True,False,False,True,False,14,1.18
Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,First,21.4,1197.0,83.1,5.0,8.7,False,False,True,False,True,7,1.24
Maruti Baleno Zeta 1.2,Mumbai,2016,12000,First,21.4,1197.0,83.1,5.0,6.1,False,False,True,False,True,10,0.61
Mini Cooper Countryman D,Hyderabad,2013,51000,First,23.8,1998.0,112.0,5.0,21.94,True,False,False,True,False,13,1.69
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Second,13.0,2987.0,210.0,5.0,22.0,True,False,False,True,False,17,1.29
Maruti Alto K10 LXI,Delhi,2015,51000,First,20.92,998.0,67.1,5.0,2.65,False,False,True,False,True,11,0.24
Maruti Swift VXI Optional,Kochi,2017,42527,First,20.4,1197.0,81.8,5.0,5.27,False,False,True,False,True,9,0.59
Chevrolet Sail LT ABS,Kolkata,2014,45000,First,22.1,1248.0,74.0,5.0,2.48,True,False,False,False,True,12,0.21
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,First,12.8,2494.0,102.0,8.0,6.0,True,False,False,False,True,15,0.4
Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,First,11.5,2982.0,171.0,7.0,8.9,True,False,False,False,True,17,0.52
BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Second,18.88,1995.0,184.0,5.0,18.0,True,False,False,True,False,14,1.29
Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,First,16.8,1395.0,138.02,5.0,11.64,False,False,True,False,True,10,1.16
Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,First,11.5,2982.0,171.0,7.0,8.99,True,False,False,False,True,7,1.28
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,First,15.5,1896.0,105.0,5.0,5.25,True,False,False,True,False,17,0.31
Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,First,23.0,1396.0,90.0,5.0,2.95,True,False,False,False,True,15,0.2
Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Second,21.02,1248.0,88.76,5.0,2.65,True,False,False,False,True,13,0.2
Volkswagen Vento Petrol Highline,Pune,2013,57197,First,15.04,1598.0,103.6,5.0,4.0,False,False,True,False,True,13,0.31
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582.0,126.2,5.0,12.5,True,False,False,True,False,10,1.25
Maruti Ritz VXI,Mumbai,2014,33000,First,21.1,1197.0,85.8,5.0,3.25,False,False,True,False,True,12,0.27
Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,First,13.1,1997.0,141.1,5.0,4.0,False,False,True,False,True,18,0.22
Mahindra XUV500 W8 2WD,Delhi,2012,75000,Second,15.1,2179.0,140.0,7.0,6.25,True,False,False,False,True,14,0.45
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,21.66,1498.0,108.62,5.0,5.8,True,False,False,False,True,10,0.58
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,17.57,1193.0,88.7,5.0,5.0,False,False,True,False,True,11,0.45
Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,First,12.9,2993.0,270.88,5.0,58.73,True,False,False,True,False,10,5.87
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798.0,138.03,5.0,17.49,False,False,True,True,False,8,2.19
Maruti A-Star Vxi,Pune,2011,69000,Second,19.0,998.0,66.1,5.0,1.95,False,False,True,False,True,15,0.13
Honda Accord VTi-L (AT),Mumbai,2007,80000,First,11.1,2354.0,142.0,5.0,3.0,False,False,True,True,False,19,0.16
Hyundai i20 Asta (o),Delhi,2014,42365,First,17.0,1197.0,80.0,5.0,5.5,False,False,True,False,True,12,0.46
Toyota Fortuner 4x2 AT,Delhi,2013,123000,First,12.55,2982.0,168.5,7.0,16.5,True,False,False,True,False,13,1.27
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Second,11.74,1796.0,186.0,5.0,14.5,False,False,True,True,False,15,0.97
Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,First,27.39,1248.0,74.0,5.0,7.79,True,False,False,False,True,10,0.78
Maruti Ertiga VDI,Kochi,2017,43775,First,20.77,1248.0,88.76,7.0,8.27,True,False,False,False,True,9,0.92
Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993.0,255.0,5.0,97.07,True,False,False,True,False,7,13.87
Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,First,12.9,1598.0,102.5,5.0,2.15,False,False,True,False,True,14,0.15
Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Second,12.9,1799.0,130.0,5.0,3.0,False,False,True,True,False,18,0.17
BMW X3 xDrive20d,Coimbatore,2014,41089,First,16.09,1995.0,184.0,5.0,28.79,True,False,False,True,False,12,2.4
Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,First,20.0,1968.0,138.1,5.0,5.45,True,False,False,True,False,15,0.36
Maruti Swift Dzire VDI,Delhi,2013,72486,First,23.4,1248.0,74.0,5.0,3.95,True,False,False,False,True,13,0.3
Volvo V40 Cross Country D3,Pune,2013,92000,First,23.3,1984.0,150.0,5.0,16.0,True,False,False,True,False,13,1.23
Maruti Swift Dzire ZXi,Delhi,2013,40000,First,17.5,1298.0,85.8,5.0,4.25,False,False,True,False,True,13,0.33
Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,First,12.7,2179.0,187.7,5.0,34.5,True,False,False,True,False,12,2.88
Honda Accord 2.4 AT,Mumbai,2008,125000,Third,11.7,2354.0,177.6,5.0,2.6,False,False,True,True,False,18,0.14
Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,First,12.99,2494.0,100.6,8.0,13.48,True,False,False,False,True,9,1.5
Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,First,12.55,2982.0,168.5,7.0,32.1,True,False,False,False,True,8,4.01
Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,First,18.7,1199.0,88.7,5.0,6.17,False,False,True,False,True,8,0.77
Honda City 1.5 V MT,Kolkata,2015,32000,First,17.0,1497.0,118.0,5.0,5.5,False,False,True,False,True,11,0.5
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,28.4,1248.0,73.75,5.0,9.15,True,False,False,True,False,9,1.02
Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,First,21.64,1461.0,84.8,5.0,4.5,True,False,False,False,True,12,0.38
Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,First,12.99,2494.0,100.6,8.0,10.5,True,False,False,False,True,12,0.88
Honda Brio S MT,Coimbatore,2016,14821,First,19.4,1198.0,86.8,5.0,5.37,False,False,True,False,True,10,0.54
Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,First,15.04,1598.0,103.6,5.0,5.45,False,False,True,False,True,14,0.39
Mahindra XUV500 W4,Mumbai,2016,33000,First,16.0,2179.0,140.0,7.0,9.25,True,False,False,False,True,10,0.92
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,23.0,1498.0,98.96,5.0,7.7,True,False,False,False,True,10,0.77
Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,First,17.72,1968.0,108.49,5.0,7.99,True,False,False,False,True,14,0.57
Hyundai i10 Sportz,Chennai,2012,49000,First,20.36,1197.0,78.9,5.0,3.0,False,False,True,False,True,14,0.21
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,First,12.8,2494.0,102.0,8.0,4.0,True,False,False,False,True,21,0.19
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,20.65,1248.0,88.7,5.0,6.69,True,False,False,False,True,8,0.84
Maruti Swift VDI,Delhi,2014,56000,First,22.9,1248.0,74.0,5.0,4.25,True,False,False,False,True,12,0.35
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498.0,108.4,5.0,10.5,True,False,False,True,False,9,1.17
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393.0,147.8,8.0,22.55,True,False,False,False,True,7,3.22
Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Second,17.01,1591.0,121.3,5.0,5.2,False,False,True,False,True,12,0.43
Honda City i VTEC VX Option,Coimbatore,2019,23882,First,17.4,1497.0,117.3,5.0,11.87,False,False,True,False,True,7,1.7
Honda City i DTEC SV,Hyderabad,2014,65000,First,26.0,1498.0,98.6,5.0,6.99,True,False,False,False,True,12,0.58
Volkswagen Vento Diesel Highline,Jaipur,2011,50000,First,20.54,1598.0,103.6,5.0,5.0,True,False,False,False,True,15,0.33
Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,First,12.19,2967.0,236.0,5.0,44.0,True,False,False,True,False,12,3.67
Maruti Alto 800 LXI,Chennai,2015,21000,First,22.74,796.0,47.3,5.0,2.79,False,False,True,False,True,11,0.25
Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Second,21.12,1248.0,88.8,5.0,2.9,True,False,False,False,True,14,0.21
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,First,15.29,1591.0,121.3,5.0,9.85,False,False,True,False,True,10,0.98
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,First,12.0,2987.0,224.0,7.0,49.0,True,False,False,True,False,12,4.08
Mahindra Thar CRDe,Jaipur,2016,19000,First,16.55,2498.0,105.0,6.0,9.25,True,False,False,False,True,10,0.92
Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Second,22.32,1582.0,126.3,5.0,3.75,True,False,False,False,True,15,0.25
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,26.1,1498.0,99.0,5.0,7.29,True,False,False,False,True,9,0.81
Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,20.7,1496.0,113.98,4.0,23.5,True,False,False,True,False,10,2.35
Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,First,14.0,796.0,35.0,5.0,2.6,False,False,True,False,True,13,0.2
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Second,21.03,1461.0,65.0,5.0,3.1,True,False,False,False,True,11,0.28
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,First,14.21,2143.0,203.0,5.0,29.98,True,False,False,True,False,10,3.0
Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,First,19.01,1461.0,108.45,5.0,6.73,True,False,False,False,True,10,0.67
Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,First,23.4,1248.0,74.0,5.0,3.5,True,False,False,False,True,10,0.35
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,First,16.47,1198.0,73.9,5.0,2.35,False,False,True,False,True,15,0.16
Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,First,16.0,2179.0,140.0,7.0,16.13,True,False,False,False,True,9,1.79
Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,First,16.47,1198.0,74.0,5.0,5.9,False,False,True,False,True,12,0.49
Maruti Ritz VXI,Hyderabad,2012,68776,First,21.1,1197.0,85.8,5.0,3.9,False,False,True,False,True,14,0.28
Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,First,12.8,2494.0,102.0,7.0,6.95,True,False,False,False,True,14,0.5
Honda City i DTec SV,Delhi,2015,33000,First,26.0,1498.0,98.6,5.0,7.0,True,False,False,False,True,11,0.64
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,17.0,1198.0,73.75,5.0,7.23,False,False,True,False,True,9,0.8
Maruti SX4 ZDI Leather,Mumbai,2012,90000,First,21.5,1248.0,88.8,5.0,3.81,True,False,False,False,True,14,0.27
Maruti Swift ZXI,Chennai,2012,42000,Third,18.6,1197.0,85.8,5.0,4.5,False,False,True,False,True,14,0.32
Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,First,19.67,1582.0,126.2,5.0,12.6,True,False,False,False,True,9,1.4
Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,First,12.07,2967.0,241.4,7.0,48.0,True,False,False,True,False,11,4.36
Maruti Alto LXi BSIII,Coimbatore,2010,59136,First,19.7,796.0,46.3,5.0,2.96,False,False,True,False,True,16,0.18
Honda Amaze SX i-DTEC,Kolkata,2014,36000,First,25.8,1498.0,98.6,5.0,3.25,True,False,False,False,True,12,0.27
Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Second,18.33,1968.0,167.7,5.0,8.5,True,False,False,True,False,15,0.57
Hyundai Elantra CRDi SX AT,Mumbai,2013,51000,First,19.5,1582.0,126.24,5.0,8.75,True,False,False,True,False,13,0.67
Maruti Wagon R VXI BS IV,Kochi,2011,36411,First,18.9,998.0,67.1,5.0,3.08,False,False,True,False,True,15,0.21
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,12.81,1999.0,148.31,7.0,41.5,True,False,False,True,False,9,4.61
Honda City i VTEC SV,Pune,2016,27300,First,17.8,1497.0,117.3,5.0,7.0,False,False,True,False,True,10,0.7
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,Second,14.74,1991.0,181.03,5.0,11.5,False,False,True,True,False,15,0.77
Maruti Wagon R LX BS IV,Pune,2011,71000,First,20.51,998.0,67.04,5.0,2.6,False,False,True,False,True,15,0.17
Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,First,22.32,1582.0,126.3,5.0,4.3,True,False,False,False,True,12,0.36
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,17.06,1968.0,141.0,5.0,24.9,True,False,False,True,False,9,2.77
BMW X1 sDrive 20d Exclusive,Pune,2011,102000,First,15.06,1995.0,177.0,5.0,13.75,True,False,False,True,False,15,0.92
Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,First,24.0,1186.0,73.97,5.0,3.85,True,False,False,False,True,12,0.32
Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,First,13.0,2143.0,201.1,5.0,23.25,True,False,False,True,False,12,1.94
Hyundai Grand i10 Asta Option,Bangalore,2015,50000,First,18.9,1197.0,82.0,5.0,5.75,False,False,True,False,True,11,0.52
Hyundai i10 Magna 1.2,Mumbai,2008,62000,Second,20.36,1197.0,78.9,5.0,1.65,False,False,True,False,True,18,0.09
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,2012,78000,First,19.33,1968.0,138.1,5.0,6.5,True,False,False,False,True,14,0.46
Skoda Yeti Elegance,Chennai,2011,79000,First,17.67,1968.0,138.08,5.0,7.5,True,False,False,False,True,15,0.5
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,14.75,2967.0,245.0,7.0,72.94,True,False,False,True,False,7,10.42
Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Second,11.5,2982.0,171.0,7.0,11.0,True,False,False,False,True,16,0.69
Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,First,18.9,1061.0,67.0,5.0,3.02,False,False,True,False,True,13,0.23
Hyundai EON Era,Coimbatore,2013,65060,First,21.1,814.0,55.2,5.0,3.32,False,False,True,False,True,13,0.26
Honda Brio S MT,Delhi,2013,33000,First,19.4,1198.0,86.8,5.0,3.24,False,False,True,False,True,13,0.25
Maruti Alto 800 VXI,Kolkata,2015,11110,First,22.74,796.0,47.3,5.0,2.35,False,False,True,False,True,11,0.21
Mahindra Bolero ZLX,Jaipur,2013,63000,First,15.96,2523.0,62.1,7.0,5.5,True,False,False,False,True,13,0.42
Honda City i VTEC SV,Mumbai,2015,27030,First,17.8,1497.0,117.3,5.0,6.75,False,False,True,False,True,11,0.61
Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,First,15.0,1598.0,103.52,5.0,6.15,False,False,True,False,True,11,0.56
Maruti Swift VVT VXI,Pune,2016,27755,First,22.0,1197.0,81.8,5.0,5.45,False,False,True,False,True,10,0.55
Hyundai EON Magna Plus,Hyderabad,2013,20000,Second,21.1,814.0,55.2,5.0,2.3,False,False,True,False,True,13,0.18
Maruti Swift Dzire ZXI,Kochi,2015,24782,First,20.85,1197.0,83.14,5.0,6.21,False,False,True,False,True,11,0.56
Nissan Micra XV CVT,Coimbatore,2014,47303,First,19.34,1198.0,76.0,5.0,5.21,False,False,True,True,False,12,0.43
Audi Q7 4.2 FSI quattro,Delhi,2008,71000,First,8.3,4134.0,250.0,7.0,11.99,False,False,True,True,False,18,0.67
Maruti Swift Vdi BSIII,Pune,2010,135000,First,17.8,1248.0,75.0,5.0,3.1,True,False,False,False,True,16,0.19
Tata Xenon XT EX 4X2,Jaipur,2017,1000,First,13.49,2179.0,138.03,5.0,7.5,True,False,False,False,True,9,0.83
Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,First,20.14,1498.0,88.8,5.0,4.0,True,False,False,False,True,10,0.4
Honda City i VTEC SV,Kochi,2016,36367,First,17.8,1497.0,117.3,5.0,7.73,False,False,True,False,True,10,0.77
Honda City i VTEC V,Bangalore,2015,38000,First,17.4,1497.0,117.3,5.0,7.8,False,False,True,False,True,11,0.71
Maruti 800 AC BSIII,Hyderabad,2011,83969,First,16.1,796.0,37.0,4.0,1.3,False,False,True,False,True,15,0.09
Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,First,20.14,1498.0,88.8,5.0,4.42,True,False,False,False,True,12,0.37
Chevrolet Captiva LTZ VCDi,Pune,2009,89000,First,12.5,1991.0,147.9,7.0,4.0,True,False,False,True,False,17,0.24
Mahindra XUV500 W10 2WD,Kolkata,2016,54000,First,16.0,2179.0,140.0,7.0,13.0,True,False,False,False,True,10,1.3
Honda Amaze VX i-DTEC,Kochi,2015,61691,First,25.8,1498.0,98.6,5.0,5.38,True,False,False,False,True,11,0.49
Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Second,17.0,1197.0,80.0,5.0,3.25,False,False,True,False,True,15,0.22
Maruti Wagon R AMT VXI,Jaipur,2016,68630,First,20.51,998.0,67.0,5.0,3.87,False,False,True,True,False,10,0.39
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Second,16.96,1968.0,138.03,5.0,8.25,True,False,False,True,False,12,0.69
Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,First,20.73,1373.0,91.1,5.0,9.28,False,False,True,False,True,8,1.16
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,85000,First,11.79,2179.0,120.0,7.0,6.25,True,False,False,True,False,14,0.45
Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Second,15.26,1150.0,74.9,5.0,1.15,False,False,True,False,True,18,0.06
Maruti Ciaz ZXi Option,Kochi,2016,40347,First,20.73,1373.0,91.2,5.0,7.8,False,False,True,False,True,10,0.78
Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,First,23.0,1396.0,90.0,5.0,4.5,True,False,False,False,True,14,0.32
Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,First,18.7,1199.0,88.7,5.0,7.56,False,False,True,False,True,8,0.94
Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,First,16.0,2179.0,140.0,7.0,16.08,True,False,False,False,True,9,1.79
Hyundai i20 1.2 Sportz,Bangalore,2012,52237,First,17.0,1197.0,80.0,5.0,4.5,False,False,True,False,True,14,0.32
Hyundai Verna 1.6 SX,Chennai,2012,128000,First,22.32,1582.0,126.32,5.0,5.0,True,False,False,False,True,14,0.36
Hyundai i10 Era 1.1,Delhi,2011,54000,First,19.81,1086.0,68.05,5.0,2.2,False,False,True,False,True,15,0.15
Maruti Celerio VXI AT,Bangalore,2014,49800,First,23.1,998.0,67.04,5.0,4.0,False,False,True,True,False,12,0.33
Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,First,20.86,1199.0,73.9,5.0,2.51,True,False,False,False,True,14,0.18
Maruti Swift VDI BSIV,Delhi,2015,60095,First,25.2,1248.0,74.0,5.0,4.75,True,False,False,False,True,11,0.43
Hyundai i10 Magna(O) with Sun Roof,Pune,2008,68000,Second,16.0,1086.0,66.7,5.0,2.0,False,False,True,False,True,18,0.11
Hyundai i10 Magna 1.2,Jaipur,2010,81402,Second,20.36,1197.0,78.9,5.0,2.1,False,False,True,False,True,16,0.13
Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,2013,38000,First,16.5,1499.0,110.0,5.0,6.25,False,False,True,True,False,13,0.48
Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Kochi,2011,92239,Second,11.5,2987.0,210.0,5.0,10.6,True,False,False,True,False,15,0.71
Maruti Swift VDI BSIV,Ahmedabad,2017,49224,First,25.2,1248.0,74.0,5.0,6.0,True,False,False,False,True,9,0.67
Maruti 800 Std BSIII,Jaipur,2004,12000,Second,16.1,796.0,37.0,4.0,0.45,False,False,True,False,True,22,0.02
Maruti Swift Lxi BSIII,Pune,2010,54898,Third,16.1,1298.0,88.2,5.0,2.5,False,False,True,False,True,16,0.16
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,2500,First,15.29,1591.0,121.3,5.0,12.75,False,False,True,False,True,8,1.59
BMW X1 M Sport sDrive 20d,Kochi,2017,32838,First,17.05,1995.0,190.0,5.0,30.29,True,False,False,True,False,9,3.37
Ford Ikon 1.3 Flair,Hyderabad,2006,27076,First,13.8,1299.0,70.0,5.0,1.6,False,False,True,False,True,20,0.08
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2017,75445,First,22.7,1498.0,89.84,5.0,7.54,True,False,False,False,True,9,0.84
Maruti Ciaz VXi Plus,Kochi,2015,46601,First,20.73,1373.0,91.1,5.0,6.84,False,False,True,False,True,11,0.62
Volkswagen Passat Diesel Highline 2.0 TDI,Kolkata,2012,72000,First,18.33,1968.0,167.7,5.0,6.0,True,False,False,True,False,14,0.43
Honda Jazz 1.5 VX i DTEC,Pune,2017,27000,First,27.3,1498.0,98.6,5.0,8.0,True,False,False,False,True,9,0.89
Audi A4 35 TDI Premium,Coimbatore,2016,68193,First,17.11,1968.0,174.33,5.0,24.74,True,False,False,True,False,10,2.47
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,34429,First,24.0,1120.0,70.0,5.0,5.5,True,False,False,False,True,9,0.61
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,First,12.0,2987.0,224.0,7.0,36.0,True,False,False,True,False,13,2.77
Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,80544,First,12.99,2494.0,100.6,7.0,11.79,True,False,False,False,True,13,0.91
Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Second,16.95,1498.0,97.7,5.0,3.0,False,False,True,False,True,15,0.2
